Time, Lat, Long
2015/03/10-07:12,23.77995000,59.27737000
2015/03/10-07:12,23.77899000,59.26566000
2015/03/10-07:12,23.77597000,59.25414000
2015/03/10-07:12,23.77304000,59.24340000
2015/03/10-07:12,23.77664000,59.22027000
2015/03/10-07:12,23.77860000,59.20707000
2015/03/10-07:12,23.77708000,59.19601000
2015/03/10-07:12,23.77379000,59.18661000
2015/03/10-07:12,23.76471000,59.16777000
2015/03/10-07:12,23.76066000,59.15736000
2015/03/10-07:12,23.75677000,59.14660000
2015/03/10-07:12,23.75342000,59.13639000
2015/03/10-07:12,23.74932000,59.11477000
2015/03/10-07:12,23.74729000,59.10425000
2015/03/10-07:12,23.74521000,59.09358000
2015/03/10-07:12,23.74429000,59.08252000
2015/03/10-07:12,23.74572000,59.07004000
2015/03/10-07:12,23.74611000,59.04556000
2015/03/10-07:12,23.74508000,59.03434000
2015/03/10-07:12,23.74478000,59.02317000
2015/03/10-07:12,23.74377000,59.01230000
2015/03/10-07:12,23.73963000,58.99194000
2015/03/10-07:12,23.73801000,58.98183000
2015/03/10-07:12,23.73632000,58.97148000
2015/03/10-07:12,23.73551000,58.96084000
2015/03/10-07:12,23.73251000,58.94179000
2015/03/10-07:12,23.73375000,58.93145000
2015/03/10-07:12,23.73355000,58.92057000
2015/03/10-07:12,23.73572000,58.90934000
2015/03/10-07:12,23.73715000,58.89833000
2015/03/10-07:12,23.73567000,58.87615000
2015/03/10-07:12,23.73584000,58.86462000
2015/03/10-07:12,23.73722000,58.85295000
2015/03/10-07:12,23.73800000,58.84182000
2015/03/10-07:12,23.72723000,58.82281000
2015/03/10-07:12,23.72561000,58.81417000
2015/03/10-07:12,23.72828000,58.80308000
2015/03/10-07:12,23.72725000,58.79317000
2015/03/10-07:12,23.73032000,58.77332000
2015/03/10-07:12,23.73070000,58.76361000
2015/03/10-07:12,23.73283000,58.75467000
2015/03/10-07:12,23.73224000,58.74494000
2015/03/10-07:12,23.72766000,58.72767000
2015/03/10-07:12,23.72650000,58.71811000
2015/03/10-07:12,23.72491000,58.70859000
2015/03/10-07:12,23.72285000,58.69912000
2015/03/10-07:12,23.72103000,58.68989000
2015/03/10-07:12,23.71782000,58.67082000
2015/03/10-07:12,23.71576000,58.66055000
2015/03/10-07:12,23.71391000,58.64973000
2015/03/10-07:12,23.71179000,58.63941000
2015/03/10-07:12,23.70792000,58.62006000
2015/03/10-07:12,23.70586000,58.61035000
2015/03/10-07:12,23.70336000,58.60058000
2015/03/10-07:12,23.70142000,58.59126000
2015/03/10-07:12,23.69753000,58.57265000
2015/03/10-07:12,23.69521000,58.56327000
2015/03/10-07:12,23.69276000,58.55382000
2015/03/10-07:12,23.69054000,58.54479000
2015/03/10-07:12,23.68606000,58.52668000
2015/03/10-07:12,23.68350000,58.51735000
2015/03/10-07:12,23.68173000,58.50856000
2015/03/10-07:12,23.68333000,58.49999000
2015/03/10-07:12,23.68262000,58.49099000
2015/03/10-07:12,23.67469000,58.47304000
2015/03/10-07:12,23.67113000,58.46393000
2015/03/10-07:12,23.66812000,58.45486000
2015/03/10-07:12,23.66497000,58.44546000
2015/03/10-07:12,23.66287000,58.42732000
2015/03/10-07:12,23.65798000,58.42139000
2015/03/10-07:12,23.64993000,58.42202000
2015/03/10-07:12,23.64225000,58.41898000
2015/03/10-07:12,23.62656000,58.41363000
2015/03/10-07:12,23.61976000,58.40886000
2015/03/10-07:12,23.61242000,58.40638000
2015/03/10-07:12,23.60541000,58.40334000
2015/03/10-07:12,23.59721000,58.40446000
2015/03/10-07:12,23.58087000,58.39957000
2015/03/10-07:12,23.57415000,58.39426000
2015/03/10-07:12,23.57495000,58.38581000
2015/03/10-07:12,23.58000000,58.37873000
2015/03/10-07:12,23.58999000,58.38957000
2015/03/10-07:12,23.58428000,58.39572000
2015/03/10-07:12,23.57749000,58.39202000
2015/03/10-07:12,23.57733000,58.38391000
2015/03/10-07:12,23.59091000,58.37661000
2015/03/10-07:12,23.60034000,58.37716000
2015/03/10-07:12,23.60874000,58.37369000
2015/03/10-07:12,23.61500000,58.36626000
2015/03/10-07:12,23.61633000,58.35632000
2015/03/10-07:12,23.61685000,58.33738000
2015/03/10-07:12,23.61721000,58.32776000
2015/03/10-07:12,23.61789000,58.31811000
2015/03/10-07:12,23.61876000,58.30862000
2015/03/10-07:12,23.62181000,58.28828000
2015/03/10-07:12,23.62333000,58.27758000
2015/03/10-07:12,23.62545000,58.26600000
2015/03/10-07:12,23.62377000,58.25523000
2015/03/10-07:12,23.61908000,58.23481000
2015/03/10-07:12,23.60968000,58.23143000
2015/03/10-07:12,23.60518000,58.23906000
2015/03/10-07:12,23.60507000,58.24873000
2015/03/10-07:12,23.60600000,58.25856000
2015/03/10-07:12,23.60754000,58.27789000
2015/03/10-07:12,23.60784000,58.28183000
2015/03/10-07:12,23.60784000,58.28183000
2015/03/10-07:12,23.60785000,58.28182000
2015/03/10-07:12,23.60785000,58.28201000
2015/03/10-07:12,23.60744000,58.28393000
2015/03/10-07:12,23.60700000,58.28496000
2015/03/10-07:12,23.60661000,58.28588000
2015/03/10-07:12,23.60662000,58.28589000
2015/03/10-07:12,23.60662000,58.28588000
2015/03/10-07:12,23.60658000,58.28598000
2015/03/10-07:12,23.60632000,58.28649000
2015/03/10-07:12,23.60551000,58.28552000
2015/03/10-07:12,23.60549000,58.28489000
2015/03/10-07:12,23.60506000,58.28436000
2015/03/10-07:12,23.60437000,58.28440000
2015/03/10-07:12,23.60359000,58.28388000
2015/03/10-07:12,23.60349000,58.28328000
2015/03/10-07:12,23.60343000,58.28268000
2015/03/10-07:12,23.60332000,58.28142000
2015/03/10-07:12,23.60331000,58.28078000
2015/03/10-07:12,23.60325000,58.28009000
2015/03/10-07:12,23.60318000,58.27941000
2015/03/10-07:12,23.60313000,58.27877000
2015/03/10-07:12,23.60339000,58.27777000
2015/03/10-07:12,23.60364000,58.27737000
2015/03/10-07:12,23.60360000,58.27702000
2015/03/10-07:12,23.60345000,58.27692000
2015/03/10-07:12,23.60307000,58.27658000
2015/03/10-07:12,23.60307000,58.27659000
2015/03/10-07:12,23.60307000,58.27660000
2015/03/10-07:12,23.60305000,58.27658000
2015/03/10-07:12,23.60304000,58.27658000
2015/03/10-07:12,23.60304000,58.27660000
2015/03/10-07:12,23.60304000,58.27659000
2015/03/10-07:12,23.60304000,58.27658000
2015/03/10-07:12,23.60303000,58.27660000
2015/03/10-07:12,23.60305000,58.27659000
2015/03/10-07:12,23.60305000,58.27659000
2015/03/10-07:12,23.60304000,58.27658000
2015/03/10-07:12,23.60304000,58.27658000
2015/03/10-07:12,23.60306000,58.27658000
2015/03/10-07:12,23.60304000,58.27659000
2015/03/10-07:12,23.60305000,58.27659000
2015/03/10-07:12,23.60305000,58.27659000
2015/03/10-07:12,23.60304000,58.27658000
2015/03/10-07:12,23.60304000,58.27659000
2015/03/10-07:12,23.60304000,58.27658000
2015/03/10-07:12,23.60304000,58.27657000
2015/03/10-07:12,23.60304000,58.27659000
2015/03/10-07:12,23.60301000,58.27658000
2015/03/10-07:12,24.30087,62.02658
2015/03/10-07:12,24.3036,62.04694
2015/03/10-07:12,24.30568,62.06712
2015/03/10-07:12,24.30701,62.09034
2015/03/10-07:12,24.30939,62.10888
2015/03/10-07:12,24.31277,62.13091
2015/03/10-07:12,24.31568,62.15229
2015/03/10-07:12,24.31795,62.17238
2015/03/10-07:12,24.32013,62.1937
2015/03/10-07:12,24.32275,62.21448
2015/03/10-07:12,24.32581,62.23647
2015/03/10-07:12,24.32877,62.25837
2015/03/10-07:12,24.33208,62.28034
2015/03/10-07:12,24.33598,62.30214
2015/03/10-07:12,24.33815,62.3217
2015/03/10-07:12,24.34057,62.34042
2015/03/10-07:12,24.34355,62.3637
2015/03/10-07:12,24.34643,62.38717
2015/03/10-07:12,24.34929,62.40777
2015/03/10-07:12,24.35191,62.42829
2015/03/10-07:12,24.35522,62.44783
2015/03/10-07:12,24.35967,62.47036
2015/03/10-07:12,24.36219,62.49227
2015/03/10-07:12,24.36476,62.51352
2015/03/10-07:12,24.36749,62.53535
2015/03/10-07:12,24.37186,62.55692
2015/03/10-07:12,24.37591,62.57925
2015/03/10-07:12,24.37955,62.60027
2015/03/10-07:12,24.38306,62.61959
2015/03/10-07:12,24.38712,62.6417
2015/03/10-07:12,24.39056,62.66344
2015/03/10-07:12,24.39552,62.68639
2015/03/10-07:12,24.39984,62.70812
2015/03/10-07:12,24.4053,62.7332
2015/03/10-07:12,24.40992,62.755
2015/03/10-07:12,24.41471,62.77633
2015/03/10-07:12,24.41935,62.79851
2015/03/10-07:12,24.42266,62.81809
2015/03/10-07:12,24.42722,62.8394
2015/03/10-07:12,24.4326,62.86402
2015/03/10-07:12,24.43917,62.88737
2015/03/10-07:12,24.44452,62.90877
2015/03/10-07:12,24.44721,62.92794
2015/03/10-07:12,24.45057,62.95086
2015/03/10-07:12,24.45311,62.97124
2015/03/10-07:12,24.45534,62.9952
2015/03/10-07:12,24.45792,63.0202
2015/03/10-07:12,24.46029,63.04249
2015/03/10-07:12,24.46202,63.0645
2015/03/10-07:12,24.46401,63.08645
2015/03/10-07:12,24.46539,63.10624
2015/03/10-07:12,24.47043,63.15407
2015/03/10-07:12,24.47333,63.17643
2015/03/10-07:12,24.47634,63.19842
2015/03/10-07:12,24.47959,63.22048
2015/03/10-07:12,24.48524,63.26001
2015/03/10-07:12,24.48835,63.28138
2015/03/10-07:12,24.49048,63.30278
2015/03/10-07:12,24.49397,63.32592
2015/03/10-07:12,24.49996,63.36963
2015/03/10-07:12,24.50281,63.39036
2015/03/10-07:12,24.50567,63.41148
2015/03/10-07:12,24.50867,63.43256
2015/03/10-07:12,24.51432,63.47464
2015/03/10-07:12,24.51675,63.49599
2015/03/10-07:12,24.51881,63.5176
2015/03/10-07:12,24.52024,63.53958
2015/03/10-07:12,24.52238,63.58392
2015/03/10-07:12,24.52345,63.60666
2015/03/10-07:12,24.52463,63.62912
2015/03/10-07:12,24.52617,63.65184
2015/03/10-07:12,24.52822,63.67489
2015/03/10-07:12,24.52955,63.69804
2015/03/10-07:12,24.53139,63.72169
2015/03/10-07:12,24.53305,63.74554
2015/03/10-07:12,24.53472,63.76988
2015/03/10-07:12,24.53659,63.79389
2015/03/10-07:12,24.53839,63.81913
2015/03/10-07:12,24.5408,63.84398
2015/03/10-07:12,24.54265,63.86824
2015/03/10-07:12,24.54405,63.89435
2015/03/10-07:12,24.54506,63.91822
2015/03/10-07:12,24.54698,63.94508
2015/03/10-07:12,24.54873,63.97054
2015/03/10-07:12,24.54585,63.99482
2015/03/10-07:12,24.54331,64.01939
2015/03/10-07:12,24.54311,64.04244
2015/03/10-07:12,24.54205,64.06969
2015/03/10-07:12,24.54028,64.09454
2015/03/10-07:12,24.53898,64.11957
2015/03/10-07:12,24.53619,64.16496
2015/03/10-07:12,24.53422,64.19089
2015/03/10-07:12,24.53688,64.2169
2015/03/10-07:12,24.54012,64.24178
2015/03/10-07:12,24.54857,64.2906
2015/03/10-07:12,24.55596,64.31911
2015/03/10-07:12,24.55989,64.34038
2015/03/10-07:12,24.56457,64.36742
2015/03/10-07:12,24.57494,64.42144
